phase_mark,source_marks,tracking_key,yoren_code,name_zh,attribute,stage,hp,deck_rule_limit,special_rules,interaction_flags,complexity,source_variant_count,collection_numbers,implemented_in_repo,implementation_status,backend_status,ui_status,ai_api_status,implemented_file,test_file,notes
H,H,P024,P024,阿柏怪,恶,1阶进化,130,,,SPECIAL_CONDITION,low,4,208/204|136/204,yes,implemented,implemented,todo,planned,/Users/easygod/code/ryuu-play/packages/sets/src/standard/set_h/arbok.ts,/Users/easygod/code/ryuu-play/packages/sets/tests/standard/set_h/arbok.spec.ts,
H,H|G,P023,P023,阿柏蛇,恶,基础,60,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|COIN_FLIP|ATTACH_ENERGY|SPECIAL_CONDITION,high,7,135/204|078/177|023/151,yes,implemented,implemented,todo,planned,/Users/easygod/code/ryuu-play/packages/sets/src/standard/set_h/ekans.ts,/Users/easygod/code/ryuu-play/packages/sets/tests/standard/set_h/ekans.spec.ts,H mark implementation added; grouped tracker row still includes later G variants.
H,H|G|F,P359,P359,阿勃梭鲁,恶,基础,110,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|DAMAGE_COUNTERS|SEARCH_OR_RECOVERY,high,20,127/207|083/129|08 06/07|08 05/07|08 04/07|08 03/07|08 02/07|08 01/07|184/S-P|135/131|087/131|084/177|081/153|018/058,yes,implemented,implemented,todo,planned,/Users/easygod/code/ryuu-play/packages/sets/src/standard/set_h/absol.ts,/Users/easygod/code/ryuu-play/packages/sets/tests/standard/set_h/absol.spec.ts,H mark implementation added; grouped tracker row still includes later G/F variants.
H,H|F,P168,P168,阿利多斯,草,1阶进化,90,,,SPECIAL_CONDITION,low,7,006/204|072/127|011/131,yes,implemented,implemented,todo,planned,/Users/easygod/code/ryuu-play/packages/sets/src/standard/set_h/ariados.ts,/Users/easygod/code/ryuu-play/packages/sets/tests/standard/set_h/ariados.spec.ts,H mark implementation added; grouped tracker row still includes later F variants.
H,H|G|F,P590,P590,哎呀球菇,草,基础,50,,,SELECT_POKEMON|SELECT_CARD|SPECIAL_CONDITION|SEARCH_OR_RECOVERY,medium,8,007/207|005/128|021/131,yes,implemented,implemented,todo,planned,/Users/easygod/code/ryuu-play/packages/sets/src/standard/set_h/foongus.ts,/Users/easygod/code/ryuu-play/packages/sets/tests/standard/set_h/foongus.spec.ts,H mark implementation added; grouped tracker row still includes later G/F variants.
H,H|G,P0915,P0915,爱吃豚,无色,基础,50,,,SELECT_POKEMON|SELECT_CARD|COIN_FLIP|SWITCH|SPECIAL_CONDITION,high,20,047/066|137/129|111/130|110/SV-P|110/129|087/052|082/SV-P|049/052|16 05/05|16 04/05|16 03/05|16 02/05|16 01/05,yes,implemented,implemented,not_needed,planned,/Users/easygod/code/ryuu-play/packages/sets/src/standard/set_h/lechonk.ts,,H mark implementation added; grouped tracker row still includes later G variants.
H,H,P166,P166,安瓢虫,草,1阶进化,90,,,SELECT_POKEMON|SELECT_CARD|SWITCH,medium,3,004/207,yes,implemented,implemented,todo,planned,/Users/easygod/code/ryuu-play/packages/sets/src/standard/set_h/ledian.ts,/Users/easygod/code/ryuu-play/packages/sets/tests/standard/set_h/ledian.spec.ts,
H,H,Y1447,Y1447,暗黑酋雷姆ex,水,基础,230,,POKEMON_EX,SPECIAL_CONDITION,medium,2,218/207|058/207,yes,implemented,implemented,implemented,planned,/Users/easygod/code/ryuu-play/packages/sets/src/standard/set_h/black-kyurem-ex.ts,/Users/easygod/code/ryuu-play/packages/sets/tests/standard/set_h/black-kyurem-ex.spec.ts,
H,H,P165,P165,芭瓢虫,草,基础,60,,,,low,3,003/207,yes,implemented,implemented,not_needed,not_needed,/Users/easygod/code/ryuu-play/packages/sets/src/standard/set_h/ledyba.ts,, 
H,H,P543,P543,百足蜈蚣,恶,基础,80,,,SPECIAL_CONDITION,low,3,128/207,yes,implemented,implemented,todo,planned,/Users/easygod/code/ryuu-play/packages/sets/src/standard/set_h/venipede.ts,/Users/easygod/code/ryuu-play/packages/sets/tests/standard/set_h/venipede.spec.ts,
